카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,89,2.08,55.1,43.02,-26.89,10.84,5일
[E] 과매도,245,-0.79,42.4,34.33,-22.69,8.91,5일
[F] 단기관심,125,0.5,48.8,43.02,-32.13,11.58,5일
