섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,11.81,14.27,,30329716
은행,11,11.41,7.87,,2170771
제약,62,-6.32,4.44,,1577864
조선,14,24.35,22.5,,1569116
자동차,10,11.59,9.16,18.72,1448571
전기제품,11,205.34,-9.42,,1441202
전자장비와기기,20,22.5,0.64,,1342171
전기장비,14,7.69,17.0,,1251969
복합기업,17,22.81,2.65,,1213497
우주항공과국방,8,40.54,18.71,,1190519
증권,33,7.89,8.4,,904379
석유와가스,12,-2.69,-1.49,,898182
화학,72,19.99,5.75,9.19,810092
기계,22,-1.89,3.62,18.53,793342
자동차부품,73,-48.3,5.56,,769202
생명보험,4,17.52,5.94,,715915
손해보험,11,11.12,12.67,,565807
IT서비스,14,33.65,7.52,,510322
양방향미디어와서비스,3,27.59,5.08,,500859
건설,39,7.98,7.26,,471249
화장품,19,17.46,15.5,,461953
철강,36,-3.06,0.36,13.2,390943
식품,52,5.61,1.25,,386179
비철금속,26,1.94,3.38,8.97,355924
전자제품,4,-53.71,4.36,,342085
전기유틸리티,4,58.74,11.65,,281085
무선통신서비스,3,20.19,4.67,,275798
해운사,8,13.5,7.94,,250630
항공사,8,-48.75,-83.43,,221895
게임엔터테인먼트,5,9.21,11.92,,213267
에너지장비및서비스,10,78.03,2.08,,188688
담배,1,14.21,11.77,,183018
백화점과일반상점,12,18.64,1.63,,181065
항공화물운송과물류,10,4.54,7.48,,181039
"섬유,의류,신발,호화품",45,11.14,5.45,10.81,170400
기타,27,,,,144280
다각화된통신서비스,1,10.6,10.22,,137352
무역회사와판매업체,7,8.61,84.01,,135621
가정용기기와용품,5,6.49,13.41,,96388
부동산,28,26.78,1.36,17.24,94870
방송과엔터테인먼트,8,25.18,-2.5,,94795
건축자재,31,1.59,3.84,,92462
가스유틸리티,11,5.5,7.33,,80513
"호텔,레스토랑,레저",9,6.0,3.32,,75428
운송인프라,3,5.74,10.46,,63141
카드,1,8.87,7.45,,54801
디스플레이패널,2,-3.56,3.44,,48655
상업서비스와공급품,9,9.57,9.04,,48644
통신장비,3,13.49,8.28,,32110
광고,3,7.24,10.32,,30892
도로와철도운송,5,-8.84,-10.84,,26553
포장재,16,13.5,2.28,,25811
음료,9,-7.73,3.71,,25808
건강관리장비와용품,5,8.21,-4.92,,17611
가구,7,26.01,4.35,,16337
핸드셋,3,-8.78,4.47,,15143
복합유틸리티,1,2.45,14.84,,8661
디스플레이장비및부품,3,-1329.79,-3.54,,7605
종이와목재,10,-0.32,-4.97,,7001
사무용전자제품,1,10.54,1.88,,3993
창업투자,1,15.23,5.99,,3284
건강관리업체및서비스,1,4.04,11.08,,2574
건축제품,4,-1.4,-1.76,,2397
출판,2,3.35,96.89,,2333
교육서비스,4,-2.69,-12.33,11.69,2287
식품과기본식료품소매,2,2.25,11.89,,1722
전문소매,1,-6.15,-0.26,,1516
레저용장비와제품,2,2.5,6.36,,1456
가정용품,2,,,,1254
소프트웨어,1,7.76,5.56,,1238
판매업체,2,-50.93,-9.09,,1072
생물공학,2,,,,1006
컴퓨터와주변기기,2,,,,607
문구류,1,,,,259
