Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
322000,HD현대에너지솔루션,에너지장비및서비스,164000,48.96,28.02,12.53,63.5,28.25,61.48,18368,◎ 강세
028050,삼성E&A,건설,47600,16.52,10.19,2.05,49.1,14.99,18.58,93296,◎ 강세
018670,SK가스,가스유틸리티,255500,15.09,25.55,2.41,67.3,5.87,17.5,23652,◎ 강세
017670,SK텔레콤,무선통신서비스,100000,11.48,9.41,3.88,67.9,58.62,15.36,214790,◎ 강세
207940,삼성바이오로직스,제약,1518000,8.74,9.52,3.83,59.1,49.32,12.57,702697,◎ 강세
103140,풍산,비철금속,68300,9.98,3.33,2.43,52.5,10.42,12.42,19141,◎ 강세
036460,한국가스공사,가스유틸리티,34950,7.87,8.88,1.51,64.1,10.27,9.38,32263,○ 양호
052690,한전기술,전기유틸리티,99100,6.9,-7.04,1.79,42.8,112.87,8.7,37876,○ 양호
000100,유한양행,제약,74900,5.79,5.05,1.58,62.0,28.62,7.38,59656,△ 보통
001450,현대해상,손해보험,40350,5.35,12.24,1.5,63.1,3.43,6.85,34398,△ 보통
