카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,103,1.29,51.5,43.02,-26.89,10.09,5일
[E] 과매도,259,-0.09,49.0,34.33,-22.69,8.42,5일
[F] 단기관심,130,0.36,47.7,43.02,-32.13,11.25,5일
