Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
069960,현대백화점,백화점과일반상점,129600,13.91,-17.66,14.1,4.64,27948,◎ 극과매도(RSI 14)
023530,롯데쇼핑,백화점과일반상점,125900,22.4,-10.58,21.77,0.34,35616,○ 과매도(RSI 22)
020560,아시아나항공,항공사,6850,25.0,-3.25,-2.16,-34.48,14110,△ 약과매도(RSI 25)
011070,LG이노텍,전자장비와기기,625000,25.15,-6.44,30.51,6.14,147919,△ 약과매도(RSI 25)
004170,신세계,백화점과일반상점,504000,25.25,-14.43,63.46,0.32,47604,△ 약과매도(RSI 25)
001040,CJ,복합기업,132200,26.87,-2.58,31.21,2.69,38572,△ 약과매도(RSI 27)
003490,대한항공,항공사,25450,27.63,-3.96,15.24,7.28,93712,△ 약과매도(RSI 28)
009150,삼성전기,전자장비와기기,1326000,28.26,3.84,125.25,7.7,990438,△ 약과매도(RSI 28)
180640,한진칼,항공사,105000,28.55,-7.49,42.2,4.75,70100,△ 약과매도(RSI 29)
462870,시프트업,게임엔터테인먼트,30650,28.92,-5.55,9.4,22.71,18004,△ 약과매도(RSI 29)
