Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
064400,LG씨엔에스,IT서비스,75100,16.16,-12.47,15.76,17.35,72761,◎ 극과매도(RSI 16)
454910,두산로보틱스,기계,85000,17.13,-16.5,-99.77,-14.78,55097,◎ 극과매도(RSI 17)
035420,NAVER,양방향미디어와서비스,196400,19.23,-14.42,17.05,7.37,308127,◎ 극과매도(RSI 19)
307950,현대오토에버,IT서비스,507000,21.31,-23.41,76.9,10.27,139040,○ 과매도(RSI 21)
005380,현대차,자동차,480500,21.95,-21.62,14.81,8.41,983861,○ 과매도(RSI 22)
259960,크래프톤,게임엔터테인먼트,204000,24.2,-15.53,11.04,10.6,94121,○ 과매도(RSI 24)
336260,두산퓨얼셀,에너지장비및서비스,51800,24.43,-20.31,-31.2,-30.66,33926,○ 과매도(RSI 24)
034220,LG디스플레이,디스플레이패널,11370,24.95,-16.21,-69.75,3.44,56850,○ 과매도(RSI 25)
004370,농심,식품,329500,25.31,-9.48,11.22,6.18,20042,△ 약과매도(RSI 25)
017670,SK텔레콤,무선통신서비스,90600,25.38,-4.53,53.11,3.33,194600,△ 약과매도(RSI 25)
