카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,109,0.88,51.4,43.02,-26.89,10.14,5일
[E] 과매도,211,1.79,57.3,34.33,-18.97,8.07,5일
[F] 단기관심,142,-0.06,45.8,43.02,-26.89,10.69,5일
