섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,15.17,14.27,,26814588
은행,11,11.26,7.87,,2188598
조선,14,-1.49,22.5,,1652672
제약,62,3.35,3.12,,1606560
자동차,10,8.17,9.16,15.48,1472655
전기제품,11,2.21,-9.42,,1302702
전자장비와기기,20,28.57,0.59,,1213321
우주항공과국방,8,42.44,18.71,,1180834
전기장비,14,48.23,16.91,,1141550
복합기업,17,41.42,2.65,,1122371
증권,33,8.7,8.4,,904567
석유와가스,12,7.79,-0.77,,836107
자동차부품,73,4.65,5.55,,824518
화학,72,-49.99,5.75,9.2,771510
기계,22,15.03,3.62,19.32,718806
생명보험,4,14.72,5.94,,626945
손해보험,11,10.37,12.67,,517148
양방향미디어와서비스,3,22.21,5.08,,507702
IT서비스,14,33.58,7.52,,471875
건설,39,13.76,7.26,,424668
화장품,19,12.92,15.5,,405608
철강,36,5.08,0.72,15.12,380577
식품,52,2.33,1.25,,366544
전자제품,4,-24.79,4.36,,313886
비철금속,26,6.56,3.51,8.72,295250
전기유틸리티,4,59.34,11.65,,292467
무선통신서비스,3,31.89,4.67,,253232
해운사,8,13.9,7.94,,252426
게임엔터테인먼트,5,10.64,11.92,,230900
항공사,8,6.43,-83.43,,206703
담배,1,18.59,11.77,,195994
백화점과일반상점,12,20.7,1.63,,187817
"섬유,의류,신발,호화품",45,15.54,5.45,11.31,185257
항공화물운송과물류,10,-1.48,7.48,,183709
에너지장비및서비스,10,-3.24,2.08,,153866
기타,25,,,,145528
무역회사와판매업체,7,14.74,84.01,,144370
다각화된통신서비스,1,8.7,10.22,,134328
방송과엔터테인먼트,8,53.13,-2.5,,97122
부동산,28,31.96,1.34,17.52,97060
가정용기기와용품,5,7.58,13.41,,93401
건축자재,31,2.22,3.84,,85585
가스유틸리티,11,5.72,7.33,,77807
"호텔,레스토랑,레저",10,9.73,5.36,,76099
운송인프라,3,6.32,10.46,,63310
카드,1,8.97,7.45,,55438
디스플레이패널,2,-59.94,3.44,,49405
상업서비스와공급품,9,13.77,9.04,,45363
광고,3,8.2,10.32,,30938
통신장비,3,39.76,8.28,,30536
음료,9,2.96,3.71,,26230
포장재,16,-25.98,2.12,,24802
도로와철도운송,5,-8.91,-10.84,,23470
건강관리장비와용품,5,12.5,-4.92,,18276
가구,7,19.7,4.35,,16481
핸드셋,3,-12.08,4.47,,13272
복합유틸리티,1,2.32,14.84,9.55,7468
종이와목재,10,76.25,-4.03,,7014
디스플레이장비및부품,3,11.94,7.49,,6414
사무용전자제품,1,15.62,1.88,,3993
창업투자,1,14.44,5.99,,3113
교육서비스,4,-2.85,-12.33,13.98,2394
건축제품,4,0.5,-1.76,,2296
출판,2,3.41,96.89,,2243
건강관리업체및서비스,1,5.2,11.08,,2219
식품과기본식료품소매,2,3.22,11.89,,1696
전문소매,1,-16.92,-0.26,,1530
레저용장비와제품,2,4.01,6.36,,1422
가정용품,2,,,,1205
소프트웨어,1,9.43,5.56,,1179
생물공학,2,,,,1116
판매업체,2,-17.67,-9.09,,1036
컴퓨터와주변기기,2,,,,584
문구류,1,,,,303
