Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.35,36.85,6070,1093,0.035,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.78,31.51,2690,1346,0.062,◎ 매우 저평가
016880,웅진,출판,3.41,96.89,2025,1619,0.096,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.099,◎ 매우 저평가
136490,선진,식품,2.18,23.5,10340,2459,0.117,◎ 매우 저평가
002380,KCC,건축자재,2.3,23.51,442000,37981,0.121,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.62,19.4,35600,228539,0.191,○ 저평가
001450,현대해상,손해보험,3.34,20.6,39300,33503,0.199,○ 저평가
096760,JW홀딩스,제약,4.2,23.57,3920,2898,0.234,○ 저평가
023590,다우기술,증권,2.81,15.95,38400,16622,0.255,○ 저평가
