카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,105,1.39,52.4,43.02,-26.89,10.16,5일
[E] 과매도,247,-0.72,44.5,34.31,-22.69,8.4,5일
[F] 단기관심,129,0.38,48.8,43.02,-32.13,11.24,5일
