섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,20.38,11.03,,34401860
복합기업,18,50.27,5.35,,2987367
자동차,10,9.69,9.16,14.09,1990218
은행,11,11.76,7.87,,1972738
조선,14,-9.85,22.5,,1919808
전자장비와기기,21,39.77,2.71,,1891488
전기제품,12,3.06,-11.78,,1475586
전기장비,14,56.53,16.91,,1394734
제약,62,2.69,4.44,,1377072
우주항공과국방,8,46.77,18.71,,1213372
증권,33,8.18,8.33,,1046455
자동차부품,73,5.11,5.67,11.06,907525
화학,72,-63.68,5.75,9.21,897963
기계,22,16.63,3.11,17.65,827363
생명보험,4,19.41,5.94,,822479
석유와가스,11,8.74,-0.77,,800879
IT서비스,14,41.4,7.52,,593512
양방향미디어와서비스,3,21.93,5.08,,526215
손해보험,11,10.06,12.67,,504848
건설,39,13.64,6.92,,442042
철강,36,2.72,0.21,13.74,410916
전자제품,4,-22.51,4.36,,382768
화장품,19,11.42,15.5,,365882
식품,52,2.17,1.16,,346780
비철금속,26,6.36,3.38,8.63,306433
전기유틸리티,4,66.38,11.65,,301252
무선통신서비스,3,35.52,4.67,,280548
백화점과일반상점,12,27.71,1.63,,262634
게임엔터테인먼트,5,10.98,11.92,,232617
해운사,8,13.71,7.94,,219072
"섬유,의류,신발,호화품",47,17.02,5.28,11.63,198835
항공사,8,6.26,-83.43,,195656
담배,1,18.23,11.77,,192153
항공화물운송과물류,10,-3.34,6.89,,175159
기타,25,,,,159649
다각화된통신서비스,1,9.8,10.22,,151213
에너지장비및서비스,9,-0.92,6.17,,139368
무역회사와판매업체,6,8.87,97.89,,130410
방송과엔터테인먼트,8,50.18,-12.33,,110816
부동산,29,28.24,1.4,16.11,99710
"호텔,레스토랑,레저",10,12.17,5.36,,90641
가정용기기와용품,5,9.76,11.76,,90240
건축자재,31,-19.32,3.53,,88565
가스유틸리티,11,5.74,7.33,,77599
운송인프라,3,5.57,10.46,,66986
디스플레이패널,2,-78.83,3.44,,64760
카드,1,8.46,7.45,,54627
상업서비스와공급품,9,13.7,9.04,,45100
통신장비,3,57.0,8.28,,43468
소프트웨어,2,23.54,10.78,,36241
광고,3,8.65,10.32,,31660
음료,9,3.41,3.71,,26422
포장재,16,-31.36,2.12,,24960
도로와철도운송,5,-4.68,-7.55,,21175
건강관리장비와용품,5,12.7,-4.92,,19211
핸드셋,3,-11.73,4.47,,15382
가구,7,18.96,4.35,,14948
인터넷과카탈로그소매,1,8.85,4.36,,9444
디스플레이장비및부품,3,16.31,7.49,,8451
복합유틸리티,1,2.52,14.84,8.78,8117
종이와목재,10,60.96,-4.97,,7044
사무용전자제품,1,16.19,1.88,,4139
창업투자,1,11.85,5.99,,2555
교육서비스,4,-2.92,-12.33,13.01,2545
건축제품,4,-3.99,-11.82,,2255
출판,2,3.23,96.89,,2193
전문소매,2,-17.21,-0.26,,1887
건강관리업체및서비스,1,4.0,11.08,,1709
식품과기본식료품소매,2,3.03,11.89,,1707
레저용장비와제품,2,4.44,6.36,,1511
생물공학,2,-1.72,-81.98,,1414
가정용품,2,,,,1249
판매업체,2,,,,1026
컴퓨터와주변기기,2,,,,696
문구류,1,,,,247
