Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
395400,SK리츠,부동산,6020,20.64,-1.15,4.03,57.5,55.23,24.67,18121,◎ 강세
383220,F&F,"섬유,의류,신발,호화품",83200,16.04,-0.36,2.73,61.3,6.21,18.77,31871,◎ 강세
081660,미스토홀딩스,"섬유,의류,신발,호화품",43900,12.85,18.49,4.3,67.3,11.02,17.15,23307,◎ 강세
443060,HD현대마린솔루션,조선,245500,11.59,-1.21,2.09,58.2,36.16,13.68,110066,◎ 강세
002790,아모레퍼시픽홀딩스,화장품,24550,10.09,-3.73,2.31,55.2,18.71,12.4,18770,◎ 강세
030200,KT,다각화된통신서비스,60000,10.09,0.17,1.73,65.4,9.8,11.83,151213,○ 양호
001800,오리온홀딩스,식품,27950,5.08,17.68,3.03,68.4,13.01,8.11,17509,○ 양호
030000,제일기획,광고,19310,5.35,1.79,1.64,62.2,10.71,6.99,22214,△ 보통
033780,KT&G,담배,185100,5.29,1.65,1.65,57.5,18.23,6.94,192153,△ 보통
012750,에스원,상업서비스와공급품,76700,3.65,7.12,2.77,67.6,18.44,6.42,29145,△ 보통
