Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.77,31.51,2615,1309,0.068,◎ 매우 저평가
002380,KCC,건축자재,1.13,23.51,467000,40129,0.086,◎ 매우 저평가
016880,웅진,출판,3.31,96.89,2080,1662,0.106,◎ 매우 저평가
136490,선진,식품,2.82,23.5,10260,2440,0.161,○ 저평가
096760,JW홀딩스,제약,3.57,23.57,4060,3001,0.194,○ 저평가
015760,한국전력,전기유틸리티,2.78,19.4,33400,214416,0.204,○ 저평가
402340,SK스퀘어,반도체와반도체장비,4.3,37.82,1064000,1403671,0.222,○ 저평가
003650,미창석유,화학,1.99,15.44,140300,2441,0.237,○ 저평가
023590,다우기술,증권,2.28,15.95,38350,16601,0.244,○ 저평가
033530,SJG세종,자동차부품,1.98,14.05,6840,1850,0.272,○ 저평가
