Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
204320,HL만도,자동차부품,73900,46.92,26.32,1.71,62.9,28.94,48.63,34701,◎ 강세
229640,LS에코에너지,전기장비,72000,26.98,-9.09,1.54,45.1,50.92,28.53,22050,◎ 강세
082740,한화엔진,조선,65500,23.35,-4.24,2.79,41.9,26.38,26.14,54658,◎ 강세
042660,한화오션,조선,133100,20.78,14.94,3.3,48.8,26.65,24.08,407836,◎ 강세
375500,DL이앤씨,건설,85000,20.74,6.65,2.14,58.1,7.29,22.88,32890,◎ 강세
088350,한화생명,생명보험,5700,19.12,0.53,3.75,61.2,6.69,22.88,49506,◎ 강세
011200,HMM,해운사,22100,20.24,10.72,1.58,67.9,14.45,21.82,208456,◎ 강세
475150,SK이터닉스,에너지장비및서비스,52400,18.15,14.41,2.93,63.0,71.88,21.08,17851,◎ 강세
015760,한국전력,전기유틸리티,40500,11.26,7.57,1.61,53.5,2.99,12.87,259995,◎ 강세
028050,삼성E&A,건설,52500,10.99,6.06,1.76,51.9,16.53,12.75,102900,◎ 강세
