섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,23.5,14.27,,42666643
조선,14,-2.59,22.5,,2182369
은행,11,12.35,7.87,,2116914
자동차,10,10.08,9.16,13.06,2081831
전자장비와기기,20,42.2,0.59,,2031252
전기장비,14,64.12,16.91,,1574274
전기제품,11,9.18,-9.42,,1554898
복합기업,17,53.7,2.65,,1518281
제약,62,3.07,4.44,,1453970
우주항공과국방,8,54.86,18.71,,1443137
증권,33,9.57,8.33,8.25,1094598
생명보험,4,22.02,5.94,,997356
자동차부품,74,5.4,5.67,10.62,990268
화학,72,-71.68,5.75,9.03,974824
기계,22,21.05,3.11,16.98,930660
석유와가스,12,9.12,-0.77,,905484
IT서비스,14,41.76,7.52,,592819
양방향미디어와서비스,3,22.91,5.08,,562770
손해보험,11,10.29,12.67,,524004
건설,39,16.2,4.09,,508094
철강,36,1.59,-0.18,13.28,440010
전자제품,4,-23.68,4.36,,397067
화장품,19,11.45,15.5,,363786
식품,52,1.74,1.03,,344019
전기유틸리티,4,75.09,11.65,,339700
비철금속,26,7.23,3.38,8.39,330297
무선통신서비스,3,35.32,4.67,,279298
백화점과일반상점,12,29.2,1.63,,271306
해운사,8,9.15,8.06,,252445
게임엔터테인먼트,5,11.06,11.92,,238945
항공사,8,6.36,-83.43,,217261
에너지장비및서비스,10,-5.98,2.08,,210163
항공화물운송과물류,10,-3.48,6.89,,194921
담배,1,18.43,11.77,,194333
"섬유,의류,신발,호화품",45,17.03,5.37,11.09,184415
기타,25,,,,167096
무역회사와판매업체,7,15.43,84.01,,149077
다각화된통신서비스,1,9.03,10.22,,139368
방송과엔터테인먼트,8,51.6,-12.33,,119196
부동산,28,34.85,1.34,16.75,101671
건축자재,31,-23.69,3.53,,96554
가정용기기와용품,5,10.35,11.76,,90727
"호텔,레스토랑,레저",10,11.77,5.36,,89899
가스유틸리티,11,5.83,7.33,,78006
디스플레이패널,2,-84.48,3.44,,69360
운송인프라,3,6.06,10.46,,67244
카드,1,9.31,7.45,,57524
통신장비,3,58.21,8.28,,44241
상업서비스와공급품,9,13.65,9.04,,43975
소프트웨어,2,23.67,10.78,,36273
광고,3,8.59,10.32,,32060
음료,9,2.99,3.71,,26645
포장재,16,-33.17,2.12,,26361
도로와철도운송,5,-5.04,-7.55,,21656
건강관리장비와용품,5,12.94,-4.92,,19377
핸드셋,3,-15.55,4.47,,16616
가구,7,19.91,4.35,,15648
인터넷과카탈로그소매,1,9.37,4.36,,9996
디스플레이장비및부품,3,16.5,7.49,,8559
복합유틸리티,1,2.6,14.84,8.52,8371
종이와목재,10,90.32,-4.28,,7313
사무용전자제품,1,16.5,1.88,,4217
창업투자,1,12.79,5.99,,2757
교육서비스,4,-2.84,-12.33,10.54,2530
출판,2,3.8,96.89,,2467
건축제품,4,-4.47,-11.82,,2433
식품과기본식료품소매,2,3.05,11.89,,1732
건강관리업체및서비스,1,4.05,11.08,,1730
전문소매,1,-17.62,-0.26,,1594
레저용장비와제품,2,4.53,6.36,,1550
생물공학,2,,,,1361
가정용품,2,,,,1284
판매업체,2,,,,1121
컴퓨터와주변기기,2,,,,721
문구류,1,,,,261
