섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.13,14.27,,31226481
은행,11,11.09,7.87,,2121495
조선,14,-1.29,22.5,,1632298
제약,62,4.57,4.38,,1583998
자동차,10,8.17,9.16,18.21,1566005
전자장비와기기,20,31.22,0.59,,1366975
전기제품,11,3.92,-9.42,,1313979
우주항공과국방,8,43.93,18.71,,1217861
전기장비,14,49.08,16.91,,1205986
복합기업,17,42.49,2.65,,1185663
석유와가스,12,8.44,-0.77,,951906
증권,33,8.32,8.4,,907229
자동차부품,73,-54.6,5.55,9.52,856172
화학,72,-47.65,5.75,9.25,775167
기계,22,15.23,3.62,18.86,727160
생명보험,4,16.97,5.94,,711287
손해보험,11,10.68,12.67,,531093
양방향미디어와서비스,3,21.94,5.08,,511458
IT서비스,14,35.56,7.52,,499108
건설,39,13.93,7.26,,431909
화장품,19,16.88,15.5,,403913
철강,36,5.74,0.72,13.9,375891
식품,52,2.91,1.25,,359299
전자제품,4,-50.72,4.36,,352620
비철금속,26,6.18,3.51,8.73,320273
무선통신서비스,3,35.28,4.67,,277993
전기유틸리티,4,57.26,11.65,,270067
해운사,8,15.04,7.94,,261320
게임엔터테인먼트,5,10.01,11.92,,216218
항공사,8,6.43,-83.43,,198326
백화점과일반상점,12,20.61,1.63,,185102
담배,1,17.39,11.77,,183329
항공화물운송과물류,10,-1.6,7.48,,182217
에너지장비및서비스,10,17.4,2.08,,180094
"섬유,의류,신발,호화품",45,17.06,6.0,11.15,174058
기타,25,,,,139666
다각화된통신서비스,1,8.87,10.22,,136848
무역회사와판매업체,7,14.38,84.01,,132498
부동산,28,30.3,1.34,16.62,99655
가정용기기와용품,5,7.46,13.41,,93438
방송과엔터테인먼트,8,56.03,-2.5,,90899
건축자재,31,2.37,3.84,,87078
가스유틸리티,11,6.01,7.33,,80566
"호텔,레스토랑,레저",9,9.88,3.32,,73903
운송인프라,3,6.06,10.46,,60741
카드,1,8.99,7.45,,55554
디스플레이패널,2,-60.0,3.44,,49455
상업서비스와공급품,9,13.75,9.04,,45842
통신장비,3,44.36,8.28,,34169
광고,3,8.14,10.32,,30426
음료,9,1.33,3.71,,25422
도로와철도운송,5,-11.33,-10.84,,25415
포장재,16,-28.38,2.12,,24881
건강관리장비와용품,5,13.65,-4.92,,17597
가구,7,20.02,4.35,,16420
핸드셋,3,-12.67,4.47,,13744
복합유틸리티,1,2.41,14.84,,8534
디스플레이장비및부품,3,-93.07,-3.54,,7406
종이와목재,10,58.71,-4.64,,6958
사무용전자제품,1,15.7,1.88,,4013
창업투자,1,15.27,5.99,,3292
건축제품,4,0.44,-1.76,,2445
출판,2,3.74,96.89,,2407
교육서비스,4,-2.57,-12.33,11.82,2277
건강관리업체및서비스,1,5.12,11.08,,2185
식품과기본식료품소매,2,3.39,11.89,,1759
전문소매,1,-17.0,-0.26,,1537
레저용장비와제품,2,3.94,6.36,,1412
가정용품,2,,,,1231
소프트웨어,1,9.53,5.56,,1192
판매업체,2,-19.7,-9.09,,1111
생물공학,2,,,,1073
컴퓨터와주변기기,2,,,,600
문구류,1,,,,305
