Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15697258,268500,24464621,21.7,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12140783,1662000,5139000,16.05,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1510865,188300,4347294,15.22,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1497728,1135000,712701,9.64,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1075589,1440000,1080935,136.02,7.7,,○ 우량주(#5)
005380,현대차,자동차,890696,435000,864881,13.41,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,708714,1531000,37718,49.74,19.44,,○ 우량주(#7)
032830,삼성생명,생명보험,621000,310500,501630,21.63,4.96,,△ 중대형(#8)
028260,삼성물산,복합기업,598398,369000,420709,24.75,6.02,,△ 중대형(#9)
105560,KB금융,은행,597649,168500,856473,10.65,9.98,,△ 중대형(#10)
