Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
069960,현대백화점,백화점과일반상점,139100,12.45,-9.5,15.13,4.64,29997,◎ 극과매도(RSI 12)
329180,HD현대중공업,조선,464500,17.35,-0.32,22.95,18.82,487545,◎ 극과매도(RSI 17)
062040,산일전기,전기장비,166700,18.61,-1.13,31.05,29.21,51037,◎ 극과매도(RSI 19)
001740,SK네트웍스,복합기업,7690,19.77,-3.63,17.64,2.44,15426,◎ 극과매도(RSI 20)
023530,롯데쇼핑,백화점과일반상점,134400,19.95,-7.95,23.24,0.34,38020,◎ 극과매도(RSI 20)
011070,LG이노텍,전자장비와기기,647000,20.85,0.94,31.59,6.14,153126,○ 과매도(RSI 21)
009830,한화솔루션,에너지장비및서비스,27150,22.46,-9.05,-7.99,-7.01,46669,○ 과매도(RSI 22)
014680,한솔케미칼,화학,225000,22.95,-6.05,16.77,14.34,24779,○ 과매도(RSI 23)
009155,삼성전기우,전자장비와기기,480000,23.18,6.79,45.34,,13954,○ 과매도(RSI 23)
103590,일진전기,전기장비,60900,23.65,-2.56,24.84,19.08,29040,○ 과매도(RSI 24)
