Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.24,36.85,5610,1010,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.66,31.51,2500,1251,0.065,◎ 매우 저평가
016880,웅진,출판,3.17,96.89,1879,1502,0.086,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.1,◎ 매우 저평가
136490,선진,식품,2.01,23.5,9520,2264,0.118,◎ 매우 저평가
002380,KCC,건축자재,2.18,23.51,419500,36047,0.122,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.5,19.4,33900,217626,0.186,○ 저평가
001450,현대해상,손해보험,3.15,20.6,37100,31627,0.197,○ 저평가
096760,JW홀딩스,제약,4.07,23.57,3800,2809,0.251,○ 저평가
023590,다우기술,증권,2.71,15.95,37100,16060,0.258,○ 저평가
