Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15229556,260500,22292003,21.06,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13042453,1830000,4802637,17.68,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1623088,1230000,854385,10.45,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1485189,185100,3878578,14.96,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1004630,1345000,808253,127.04,7.7,,○ 우량주(#5)
005380,현대차,자동차,855887,418000,877549,12.89,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,640000,320000,345636,22.29,4.96,,○ 우량주(#7)
207940,삼성바이오로직스,제약,635112,1372000,37607,44.58,19.44,,△ 중대형(#8)
105560,KB금융,은행,621058,175100,848625,11.07,9.98,,△ 중대형(#9)
028260,삼성물산,복합기업,574073,354000,546693,23.74,6.02,,△ 중대형(#10)
