섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,17.23,14.27,,31741060
은행,11,11.2,7.87,,2130381
자동차,10,8.04,9.16,16.74,1561184
조선,14,-1.31,22.5,,1552288
제약,62,3.86,3.15,,1407681
전자장비와기기,20,28.79,0.59,,1295029
전기제품,11,4.41,-9.42,,1174161
복합기업,17,41.13,2.65,,1137861
전기장비,14,49.53,16.91,,1106566
우주항공과국방,8,39.33,18.71,,1043950
증권,33,7.81,8.4,,935394
석유와가스,12,8.06,-0.77,,907395
자동차부품,73,5.03,5.66,,822707
생명보험,4,14.66,5.94,,711479
화학,72,-45.38,5.75,9.38,706539
기계,22,13.93,3.11,20.69,657979
손해보험,11,10.5,12.67,,504380
양방향미디어와서비스,3,20.24,5.08,,467563
IT서비스,14,31.39,7.52,,435028
건설,39,12.76,7.26,,379855
화장품,19,11.88,15.5,,351858
철강,36,3.36,0.72,15.87,346624
식품,52,2.22,1.25,,330322
전자제품,4,-18.88,4.36,,310322
전기유틸리티,4,53.84,11.65,,275265
무선통신서비스,3,33.49,4.67,,264549
비철금속,26,6.28,3.38,8.89,261105
해운사,8,8.89,8.06,,233166
게임엔터테인먼트,5,9.76,11.92,,212978
백화점과일반상점,12,22.24,1.63,,209866
항공사,8,5.42,-83.43,,184862
담배,1,17.39,11.77,,183329
"섬유,의류,신발,호화품",45,14.94,5.45,11.53,179258
항공화물운송과물류,10,-1.58,7.48,,172081
에너지장비및서비스,10,-0.26,2.08,,149152
기타,25,,,,136550
다각화된통신서비스,1,8.54,10.22,,131807
무역회사와판매업체,7,13.34,84.01,,130400
방송과엔터테인먼트,8,50.68,-2.5,8.7,100975
부동산,28,34.08,1.34,18.0,93866
가정용기기와용품,5,7.02,13.41,,88530
건축자재,31,1.3,3.39,,81074
가스유틸리티,11,5.58,7.33,,74346
"호텔,레스토랑,레저",10,8.73,5.36,,71469
운송인프라,3,5.61,10.46,,63969
카드,1,8.91,7.45,,55033
디스플레이패널,2,-62.02,3.44,,51060
상업서비스와공급품,9,13.32,9.04,,42382
광고,3,7.71,10.32,9.32,29705
통신장비,3,35.92,8.28,,27960
음료,9,2.02,3.71,,24584
포장재,16,-23.58,2.12,,22444
도로와철도운송,5,-8.91,-10.84,,22206
건강관리장비와용품,5,12.25,-4.92,,16481
가구,7,18.18,4.35,,15418
핸드셋,3,-10.93,4.47,,12181
복합유틸리티,1,2.3,14.84,9.62,7410
디스플레이장비및부품,3,12.59,7.49,,6893
종이와목재,10,66.32,-4.03,8.85,6562
사무용전자제품,1,15.6,1.88,,3988
창업투자,1,13.11,5.99,,2826
교육서비스,4,-2.34,-12.33,14.57,2178
건축제품,4,-3.76,-11.82,,2151
출판,2,3.17,96.89,,2119
건강관리업체및서비스,1,4.27,11.08,,1823
식품과기본식료품소매,2,3.03,11.89,,1651
전문소매,1,-16.06,-0.26,,1452
레저용장비와제품,2,3.94,6.36,,1387
가정용품,2,,,,1276
소프트웨어,1,9.23,5.56,,1154
생물공학,2,,,,1070
판매업체,2,,,,895
컴퓨터와주변기기,2,,,,657
문구류,1,,,,395
