Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.49,96.89,2245,1794,0.014,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.85,36.85,7070,1273,0.051,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.87,31.51,2910,1456,0.065,◎ 매우 저평가
002990,금호건설,건설,2.41,26.79,4140,1543,0.09,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.23,23.71,44500,1723,0.105,◎ 매우 저평가
136490,선진,식품,2.2,23.5,10410,2475,0.112,◎ 매우 저평가
002380,KCC,건축자재,2.79,23.51,483000,41504,0.134,◎ 매우 저평가
000540,흥국화재,손해보험,1.66,18.85,3855,2477,0.155,○ 저평가
036580,팜스코,식품,3.28,23.16,2805,1030,0.164,○ 저평가
