섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,21.29,11.03,,30392851
복합기업,18,40.15,5.35,,2630195
조선,14,-65.94,20.72,,1995376
은행,11,11.59,7.87,,1969881
자동차,10,18.17,9.16,12.32,1964126
전기장비,14,64.77,16.91,,1554480
전기제품,12,6.81,-11.78,,1545744
제약,62,-17.08,3.48,,1449526
우주항공과국방,8,48.06,15.63,,1394933
전자장비와기기,21,57.15,2.71,,1238773
증권,33,9.67,8.33,,1129774
화학,72,26.84,5.74,8.54,929947
기계,22,45.73,3.04,17.25,910160
자동차부품,73,4.35,5.67,,863797
석유와가스,11,25.08,-0.77,,787366
생명보험,4,16.43,5.94,,701537
건설,39,16.5,4.19,,496330
IT서비스,14,37.19,9.05,,484940
철강,36,-27.48,-0.18,10.21,479125
양방향미디어와서비스,3,24.27,5.08,,479083
손해보험,11,8.3,12.67,,464294
식품,52,9.34,1.22,,368798
화장품,19,15.19,15.5,,366263
비철금속,26,16.2,3.38,8.6,350337
전기유틸리티,4,53.77,11.65,,317054
전자제품,4,21.09,4.36,,307906
무선통신서비스,3,32.12,4.67,,276851
게임엔터테인먼트,5,11.06,11.92,,242617
해운사,8,10.59,8.06,,234377
백화점과일반상점,12,69.57,1.63,,214174
"섬유,의류,신발,호화품",47,14.5,5.12,11.81,206434
항공사,8,2.32,-83.43,,191295
항공화물운송과물류,10,-12.26,7.48,,188397
담배,1,19.86,11.77,,184990
기타,25,,,,173422
에너지장비및서비스,9,22.05,6.17,,154610
무역회사와판매업체,6,9.48,97.89,,151351
다각화된통신서비스,1,8.12,10.22,,140628
방송과엔터테인먼트,8,17.18,-12.33,7.94,115642
부동산,30,59.98,1.27,15.18,101652
건축자재,31,-4.95,3.53,,93005
"호텔,레스토랑,레저",10,12.14,5.36,,89996
가정용기기와용품,5,10.92,11.76,,87671
가스유틸리티,11,7.95,7.33,,81768
운송인프라,3,5.81,10.46,,67239
디스플레이패널,2,27.73,3.44,,63310
카드,1,8.67,7.45,,56018
통신장비,3,55.06,8.28,,43356
상업서비스와공급품,9,6.65,9.04,,42207
소프트웨어,2,31.89,10.78,,39186
광고,3,9.04,10.32,,30854
음료,9,-6.83,3.71,,28027
포장재,16,23.97,2.12,,27382
도로와철도운송,5,-2.46,-7.55,,22339
건강관리장비와용품,5,17.58,-4.92,,20727
핸드셋,3,1760.77,4.47,,17029
가구,7,8.29,4.35,,15478
인터넷과카탈로그소매,1,9.78,4.36,,9684
디스플레이장비및부품,3,10.23,7.49,,9157
종이와목재,10,4.84,-4.64,,8511
복합유틸리티,1,2.59,14.84,8.56,8325
사무용전자제품,1,21.22,1.88,,4105
창업투자,1,23.1,5.99,,3233
교육서비스,4,-3.88,-10.34,10.02,2965
건축제품,4,1.52,-1.76,,2584
출판,2,1.49,96.89,,2524
생물공학,2,-2.63,-81.98,,2058
전문소매,2,-66.12,-0.26,,1970
식품과기본식료품소매,2,3.18,11.89,,1884
건강관리업체및서비스,1,6.35,11.08,,1855
레저용장비와제품,2,6.83,6.36,,1662
가정용품,2,,,,1445
판매업체,2,-11.7,-9.09,,1211
컴퓨터와주변기기,2,,,,748
문구류,1,,,,285
