Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
017960,한국카본,조선,35400,0.0,-18.15,19.25,19.3,18507,◎ 극과매도(RSI 0)
439260,대한조선,조선,65400,0.0,-11.02,8.95,32.19,25196,◎ 극과매도(RSI 0)
112610,씨에스윈드,에너지장비및서비스,49500,2.07,-9.67,60.15,3.02,20875,◎ 극과매도(RSI 2)
097230,HJ중공업,건설,21000,6.94,-14.46,34.71,10.15,18962,◎ 극과매도(RSI 7)
052690,한전기술,전기유틸리티,135500,7.27,-13.14,60.65,14.2,51788,◎ 극과매도(RSI 7)
051600,한전KPS,전기유틸리티,52500,9.29,-6.25,19.01,9.29,23625,◎ 극과매도(RSI 9)
000120,CJ대한통운,항공화물운송과물류,85700,9.84,-10.17,8.08,5.98,19550,◎ 극과매도(RSI 10)
298020,효성티앤씨,"섬유,의류,신발,호화품",384000,11.28,-14.38,153.66,0.72,16618,◎ 극과매도(RSI 11)
071970,HD현대마린엔진,조선,73800,11.64,-15.07,15.16,41.36,25034,◎ 극과매도(RSI 12)
120110,코오롱인더,화학,71000,12.04,-17.15,56.17,1.01,21262,◎ 극과매도(RSI 12)
