Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16135729,276000,35662077,42.05,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12436656,1745000,5535123,16.86,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1426616,177800,5594889,27.09,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1357852,1029000,909373,15.48,37.82,,○ 우량주(#4)
005380,현대차,자동차,1212166,592000,1954219,16.76,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,792500,1061000,1908859,116.61,7.7,,○ 우량주(#6)
329180,HD현대중공업,조선,667553,636000,683917,40.5,18.82,,○ 우량주(#7)
034020,두산에너빌리티,기계,648888,101300,4332142,767.42,1.11,,△ 중대형(#8)
012450,한화에어로스페이스,우주항공과국방,644027,1249000,220620,39.23,19.14,,△ 중대형(#9)
032830,삼성생명,생명보험,624000,312000,479750,27.1,4.96,,△ 중대형(#10)
